"B
efore",":","Yasantha Kodagoda, PC, J."
"","","A.L. Shiran Gooneratne, J."
"","","Janak De Silva, J."
"C
ounsel                                 :","","Mr. Shivan Coorey with Mr. C. Suraweera instructed"
"","","by Mr. Upendra Gunasekara for the Respondent –"
"","","Appellant – Petitioner."
"","","Mr. G.R.D. Obeyesekara with Mr. Lal Perera"
"","","instructed by Mr. U. Fonseka for the Applicant –"
"","","Respondent – Respondent."
"A
rgued on",":","31st August 2022"
"J
udgment delivered on",":","29th May 2025"
