"BEFORE:","S. THURAIRAJA, PC, J."
"","KUMUDINI WICKREMASINGHE, J. AND"
"","K. PRIYANTHA FERNANDO, J."
"COUNSEL:","Ms.  Manoli 
Jinadasa  with  Ms.  Dilini  Reeves 
instructed  by  Ms."
"","Geethanjali  Amarasinghe  for  the  Respondent-Petitioner-Appellant-"
"","Appellant"
"","Manohara Jayasinghe, DSG for the Plaintiff-Respondent-Respondent-"
"","Respondent"
"WRITTEN","Respondent-Petitioner-Appellant-Appellant on 19th November 2024"
"SUBMISSIONS:","Plaintiff-Respondent-Respondent-Respondent 
on 
23rd  December"
"","2024"
"ARGUED ON:","22nd October 2024"
"DECIDED ON:","14th February 2025"
