"5
4.","Hon. Pavithra Wanniarachchi"
"","Former  Minister 
of 
Power 
and"
"","Energy"
"","No. 72,"
"","Ananda Coomaraswamy Mawatha,"
"","Colombo 07."
"5
5.","Hon. Anura Priyadarshana Yapa"
"","Former 
Minister 
of 
Petroleum"
"","Industries"
"","No. 80,"
"","Sri Ernest de Silva Mawatha,"
"","Colombo 07."
"5
6.","Hon. Tissa Karaliyadde"
"","Former 
Minister 
of 
Child"
"","Development and Women’s Affairs"
"","No. 175A,"
"","Nawala Road,"
"","Nugegoda."
"5
7.","Hon. Gamini Lokuge"
"","Former  Minister 
of 
Labour 
and"
"","Labour Relations"
"","2nd Floor,"
"","Labour Secretariat,"
"","Colombo 05."
"5
8.","Hon. Bandula Gunawardena"
"","Former Minister of Education,"
"","Isurupaya,"
"","Battaramulla."
"5
9.","Hon. Mahinda Samarasinghe"
"","Former 
Minister 
of 
Plantations"
"","Industries"
"","No. 55/75,"
"","Vauxhall Lane,"
"","Colombo 02."
"6
0.","Hon. Rajitha Senaratne"
"","Former  Minister  of  Fisheries  and"
"","Aquatic Resource Development"
"","New Secretariat,"
"","Maligawatta,"
"","Colombo 10."
"6
1.","Hon. Janaka Bandara Tennakoon"
