"","","","Panadura.","",""
"","","","RESPONDENT","",""
"B","efore",":","P. PADMAN SURASENA, J.","",""
"","","","S. THURAIRAJA, PC, J.","",""
"","","","K. PRIYANTHA FERNANDO, J.","",""
"C","ounsel                    :","","Haritha Adikary with Dhanushika Dissanayake for","",""
"","","","the Complainant.","",""
"","","","","A.S.M. Perera, PC with Chathurika Vitharana for Respondent.",""
"","","","N. Wigneshwaran, DSG for the Attorney General.","",""
"","","","Rohan  Sahabandu,  PC  with  Ms.  S.  Senanayake","for","the  Bar"
"","","","Association of Sri Lanka.","",""
