"5.","Dr. Rasika Gunapala,"
"","Consultant Pediatrician,"
"","Lady Ridgeway Hospital,"
"","Colombo 8."
"","(Member of the Transfer Board)"
"6.","Dr. Darshana Sirisena,"
"","Consultant Neurologist,"
"","National Hospital of Sri Lanka,"
"","Colombo 7."
"","(Member of the Transfer Board)"
"7.","Dr. Sunil De Alwis,"
"","Additional Secretary (Medical Services),"
"","Ministry of Health, “Suwasiripaya”,"
"","No. 385, Baddegama Wimalawansa Mawatha,"
"","Colombo 10."
"8.","Mr. I.A. Kalukapurachchi,"
"","Secretary,"
"","Health Services Committee,"
"","Public Service Commission,"
"","1200/9, Rajmalwatte Road, Battaramulla."
"9.","Dr. S.M. Senanayake,"
"","Consultant Gastroenterologist,"
"","District General Hospital, Kaluthara."
"1
0.","Dr. K.R.P. Perera,"
"","Consultant Gastroenterologist,"
"","District General Hospital, Mathara."
"1
1.","Dr. S.K. Kodisinghe,"
"","Consultant Gastroenterologist,"
"","Provincial General Hospital, Badulla."
"1
2.","Dr. T.A.C.L. Piyaratne,"
"","Consultant Gastroenterologist,"
"","Teaching Hospital, Anuradhapura."
