"Before",": Kumudini Wickremasinghe, J."
"",": Sobhitha Rajakaruna, J."
"",": Sampath B. Abayakoon, J."
"Counsel",": H. Withanachchi with Shantha Karunadhara for"
"","Petitioner-Appellants"
"",": Lakshman Perera, P.C., with Ms. Anuradha"
"","Gunawardena instructed by Ms. D.M. Niluka"
"","Sanjani Dissanayake for the Defendant-"
"","Respondent-Respondents."
"Argued on",": 13-06-2025"
"Written Submissions",": 11-07-2025 (By the Plaintiff-Respondent-"
"","Respondent and Defendant-Respondent-"
"","Respondents)"
"",": 25-07-2025 (By the Petitioner-Appellants)"
"Decided on",": 24-09-2025"
