"Before",": Kumudini Wickremasinghe, J."
"",": Menaka Wijesundera, J."
"",": Sampath B. Abayakoon, J."
"Counsel",": Ronald Perera, P.C. for the Petitioner-Appellant."
"",": Kuvera De Zoysa, P.C. with Pasindu Bandara"
"","for the 5A Respondent-Respondent."
"",": Ms. Yuresha De Silva, DSG for the 1st to 4th and 6th"
"","Respondent-Respondents."
"Argued on",": 21-02-2025"
"Written Submissions",": 16-11-2022 (By the 5A Respondent-Respondent)"
"",": 26-09-2018 (By the Petitioner-Appellant)"
"",": 21-06-2018 (By the 1st to 4th and 6th Respondent-"
"","Respondents)"
"Decided on",": 28-05-2025"
