"Before:","S. Thurairaja, PC, J"
"","Mahinda Samayawardhena, J"
"","Arjuna Obeyesekere, J"
"Counsel:","Dr. Sunil Cooray with Sudharshini Cooray for the Plain(cid:415)ﬀ – Respondent –"
"","Appellant"
"","Harsha Amarasekera, PC with Shehan Gunewardena for the  Defendant –"
"","Appellant – Respondent"
"A
rgued on:","21st October 2024"
"W
ri(cid:425)en","Tendered by the Plain(cid:415)ﬀ – Respondent –Appellant on 2nd February 2015"
"Submissions:","and 21st September 2020"
"","Tendered by the Defendant – Appellant – Respondent on 3rd August 2015"
"","and 5th November 2024"
"D
ecided on:","25th February 2025"
