"positions taken up by the Respondent Attorney-at-Law has transpired in his own evidence,",""
"and therefore I would reproduce the following portion from this evidence below:",""
"ප්‍ර :","එතැන ක ොල වගයක් ගැලවිලො තිබුනො?"
"උ :","එකෙමයි  ස්වොමීනි.  ඒ   මම  කනෝටිස්   කලත්  නැෙැ.  කමො ද  ඒ   ඒ  කෙක ෝඩ්    එ"
"","අස්කසමයි තිබුකේ. එකෙම නැතිව ඒ  මකේ කෙක ෝඩ්  එකක් තිබුකේ නැෙැ. කමො ද"
"","ඒ  ඔප්පු  ෙේන ුළුවේ ශ්‍රියොලතො මෙත්ිය ඔය සිද්ධිකයේ පස්කස් අෙකගොලකලෝ, අෙ"
"","දැේ   ලිේ  සොක්ෂ  දුේන  මකේෂි  කවළකගදෙ  ෙම්බබු  කවේන  යන  අතකේදී  ශ්‍රියොලතො"
"","මෙත්ිය මං ගොවට ඇවිලලො ක ෝ බලේන ඔයොකේ ෆයිල එ  කියලො මකේ මම අෙේ"
"","ගිය ෆයිල එ  කෙක්  ළො."
"ප්‍ර :","මකේෂි කවළකගකදෙ මෙත්ිය තමේ දේනවො ද?"
"උ :","මකේෂි කවළකගකදෙ මෙත්ිය මම දේනවො. දේනවො කියේකේ මම  ොලයක් තිස්කස්"
"","ගිහිේ තිකයනවො එයො සමග කනොකයකුත් ෙොජ ොරී සදෙො."
"ප්‍ර :","එයොව ෙම්බබුකවලො  තො බෙ  ෙලො තිකයනවො ද?"
"උ :","එකෙමයි ස්වොිනි."
"ප්‍ර :","හුගක්  ොලයක් තිස්කස් දේනවො?"
"උ :","එකෙමයි."
"ප්‍ර :","ෙම්බබු කවන ඔනෑම කවලොවක්  තො  ෙනවො?"
"උ :","සොමොනයකයේ ගියොම වැඩක්  ෙලො කදනවො. කමො ක් ෙරි ප්‍රශ්නයක් ගිහිේ කිව්වොම."
"ප්‍ර :","ඒ කියේකේ මෙත්මයොට සෙකයෝගයක් තිබුනො?"
