"“","m%(   iEu wjqreoafoau ,dNh remsh,a 20""000$- lg wvqfjka ;uhs os,d ;sfnkafka@",""
"W","(","thd os,d ;sfnk tl ;uhs'"
"m","%(","fldhs wjia:djlj;a ;udg remsh,a ,laIhlg jevsh fpla m;la ,enqfka keye'"
"W","(","keye'"
"m","%(","1976 fkao fus nsiakia tl mgka .;af;a@"
"W","(","Tjs"
"m","%(","1976 isg 1992 olajd wjqreoaola  remsh,a 25""000$-lg jevsh fplam;a ,ens,d ;sfnkjd@"
"W","(",",ens,d keye'"
"m","%(","1992 oyjeks udfia remsh,a 134,644/- l ;udg fplam;la fokfldg ;ud mqoqu jqKdo@"
"W","(","Tjs"
"m","%(","wehs@"
"W","(","wehs uf.a ,dNh lshd ;sfra i,a,s"
"m
 W","%(","ta lshkafka ta fpla tl ,dNh js;rla fkdfjhs'"
