"","","9","SC/APPEAL/30/2016"
"In fact when a person encroaches upon lands for which he has no","","",""
"title, he acquires status of a trespasser in respect of the encroached","","",""
"area of the land. Trespasser starts possessing lands for which he","","",""
"has no title and continues to possess the land secretly. As I pointed","","",""
"out  earlier,  to  claim  prescriptive  title  in  terms  of  Section  3  of  the","","",""
"Prescription Ordinance claimant’s possession should be an adverse","","",""
"possession.  A  person  who  possesses  a  land  with  secret  intention","","",""
"cannot","claim","that  his  possession","is  an  adverse  possession."
"Possession  of  a  land  by  a  person  with  secret  intention  cannot  be","","",""
"considered  as  an  adverse  possession  in  terms  of  Section  3  of  the","","",""
"Prescription Ordinance. Thus a trespasser who violates the law of","","",""
"the land and possesses the land cannot claim benefit of the law of","","",""
"the land.","","",""
