"","","Contemnor-Respondent"
"B
efore",":","Jayantha Jayasuriya, PC, CJ"
"","","Buwaneka Aluwihare, PC, J."
"","","Priyantha Jayawardena, PC, J."
"","","Vijith K. Malalgoda, PC, J."
"","","Murdu N.B. Fernando, PC,J."
"Counsel",":","Upul Kumarapperuma with Kaneel  Maddumage, Radha"
"","","Kuruwitabandara & Dulini Godagamage for the Complainant-"
"","","Petitioner in SC. Contempt  No. 02/2023."
"","","G. Alagaratnam, PC with Suren Fernando, Sandamali  Rajapaksha,"
"","","Lasantha Garusinghe, Luwie  Ganeshadasan, Nisala Seniya"
"","","Fernando  and Supuni Gunasekara for the Complainant-"
"","","Petitioner in SC. Contempt  No. 03/2023."
"","","Eraj  de Silva  with Hafeel Faris , N.K. Ashokbharan, Janaka"
"","","Sundaramoorthy, Daminda Wijeratne for the Contemnor –"
"","","Respondent  instructed by Vidanapathirana Associates  in SC."
"","","Contempt No.02/2023  & SC. Contempt  No. 03/2023."
