"Information","Documents produced at the","Date of receipt of the"
"","trial","Information by the"
"","","Accused-Respondent"
"Item No. 1","P 37","09-04-2019"
"Item No. 2","P 37(a)","09-04-2019"
"Item No. 3","Prosecution  had  not  marked","09-04-2019"
"","this document in evidence.",""
"Item No. 4","P 39","18-04-2019"
"Item No. 5","P 40","19-04-2019"
"Item No. 6","P 41","20-04-2019"
"Item No. 7","P 43","20-04-2019"
"Item No. 8","Prosecution had not marked","21-04-2019"
"","this document in evidence.",""
