"","S.C. FR Application No. 419/2015","","","",""
"Persuasive","Leadership","Analytical","","Promoting",""
"Communication","in","ability","","team work",""
"","","","Business","",""
"and","delivering","with micro","","and",""
"","","","orientation","",""
"Presentation","of a","picture","","leadership",""
"skills","strategic","awareness","","capability",""
"","","","","","Total"
"","vision","","","",""
"(2 marks)","","( 1 mark)","","(1 mark)",""
"","","","(1 mark)","",""
"","(5 marks)","","","",""
