"proceeding  before","","the  High  Court  without  naming 
the  Subs(cid:415)tuted  Plain(cid:415)ﬀs  as"
"respondents. However, the 1C Subs(cid:415)tuted – Plain(cid:415)ﬀ sought and obtained leave to appeal","",""
"on the following four ques(cid:415)ons of law:","",""
"(","1)","Has  the  High  Court  erred  in  law  in  failing  to  hold  that  the  en(cid:415)re  appeal  of  the"
"","","Defendant  was  fatally  defec(cid:415)ve  in  as  much  as  the  same  has  been  preferred  and"
"","","prosecuted against a deceased party and does the said error vi(cid:415)ate the judgment"
"","","dated 26th March 2014?"
"(","2)","Did the High Court err in law by not holding that the Defendant’s no(cid:415)ce of appeal"
"","","and the pe(cid:415)(cid:415)on of appeal were contrary to the provisions in Sec(cid:415)on 755 and 758 of"
"","","the Civil Procedure Code?"
"(","3)","Has  the  High  Court  erred  in  law  with  regard  to  the  iden(cid:415)ﬁca(cid:415)on  of  the  corpus"
"","","par(cid:415)cularly 
in  view  of  the  tes(cid:415)mony  of  the  Surveyor  and  paragraph  2  of  the"
"","","Surveyor’s Report?"
