"Before",": Kumudini Wickremasinghe, J."
"",": Arjuna Obeyesekere, J."
"",": Sampath B. Abayakoon, J."
"Counsel",": L.M.K. Arulanandam, P.C. with Krishantha Premasiri"
"","for 4th, 6th, 7b and 8th Claimant-Petitioner-"
"","Respondent-Appellant-Petitioners instructed by"
"","Chitrananda Liyanage."
"",": Shiral Lakthilaka for the Substituted Respondent-"
"","Respondent-Appellant-Respondent instructed by"
"","Sarath Walgamage."
"Argued on",": 17-02-2025"
"Written Submissions",": 14-03-2013 (By the 10G Substituted Applicant-"
"","Respondent-Respondent-Respondent)"
"",": 14-02-2013 (By the Respondent-Respondent-"
"","Appellant-Respondent)"
"",": 18-12-2012 (By the Above-mentioned appellants)"
"Decided on",": 04-04-2025"
