"BEFORE:","S. THURAIRAJA, PC, J."
"","KUMUDINI WICKREMASINGHE, J. AND"
"","MAHINDA SAMAYAWARDHENA, J."
"COUNSEL:","K.G. Jinasena with Vikum Jayanath for the Petitioner"
"","Ms.  Ganga  Wakishta  Arachchi,  DSG  for  the  1st–27th  and  29th-32nd"
"","Respondents"
"","Ms. Maneesha Kumarasinghe with Ms. Hasini Hettiarachchi for the 28th"
"","Respondent"
"WRITTEN","28th Respondent on 08th January 2024"
"SUBMISSIONS:","Petitioner on 22nd April 2024"
"","1st  to  27th  Respondents  and  29th  to  32nd  Respondents  on  30th  April"
"","2024"
"ARGUED ON:","18th March 2024"
"DECIDED ON:","29th November 2024"
