"","","S.C. (FR) No. 238/2013"
"It  was  stated  by 
the  Petitioner","that  her  father  bought","the  said"
"property in 1969 and built a dwelling house on it. She lived in that house","",""
"with  her  parents  until  her  marriage  in  1987,  after  which  she  moved  to","",""
"Peradeniya  with  her  husband.  In  1988,  her  parents  too  had  come  to  live","",""
"with her after renting out their house in Jaffna to an elderly couple. In 1990,","",""
"their  house  became  uninhabitable  due","to  damages","it  had  sustained"
"consequent  to  the  war  situation  that  erupted  between  the  LTTE  and  Sri","",""
"Lanka Army.  With hostilities continuing unabated, it was not possible for","",""
"the  Petitioner  to  repair  their  house  at  that  point  of  time.  The  Petitioner","",""
"further  states  that  due  to  the  situation  that  prevailed  at  the  time  in  the","",""
"Jaffna peninsula, she and her family had moved to Australia in 2003, but her","",""
"father had arranged a caretaker to look after the said property during their","",""
"absence.","",""
