"","9                          SC/APPEAL/11/2006",""
"T
he  petitioner  prayed","to  quash  X2  dated  14.10.2004,  which","is  a"
"Depreciation  Table  issued  by  the  2nd  respondent,  the  Secretary  to  the","",""
"Ministry of Finance, in pursuance of an Order issued by the Minister of","",""
"Finance,  under  the  Customs  (Amendment)  Act,  No.  2  of  2003.  The","",""
"Gazette No. 1362/15 dated 14.10.2004, which published this  Table by","",""
"the 2nd respondent was marked X4. The Depreciation Table cannot stand","",""
"on its own; it is based on the Minister’s Order/Gazette, which was not","",""
"tendered or sought to be quashed by the petitioner. Without seeking to","",""
"quash  the  Minister’s  Order/Gazette  relevant  to  X2  and  X4,  there  is  no","",""
"basis to quash X2 and X4.","",""
"X3  dated  14.10.2004  is  the  Minister’s  Order  made  under  the  Excise","",""
"(Special  Provisions)  Act  No.  13  of  1989,  not  under","","the  Customs"
"(Amendment) Act, No. 2 of 2003. Gazette No. 1341/28 dated 20.05.2004","",""
"marked X5 as the Gazette relevant to X3 is a different one, not relevant","",""
"to X3.","",""
"The  petitioner  has  tendered  a  number  of  other  documents  including","",""
"Orders,  Gazettes 
and  documents","obtained","from 
various 
sources"
"including  the  Government  Printing  Department,  by  way  of  counter","",""
"affidavit and motions. The brief is very complicated and bulky consisting","",""
"three volumes.","",""
"Be  that  as  it  may,  after  the  hearing,  the  Court  of  Appeal  by  judgment","",""
"dated 21.10.2005 dismissed the petitioner’s application “subject to the","",""
"observations”  made  by 
the  Court","in 
the","judgment.  By  way 
of"
"observations, the Court remarked that the Gazettes would not apply to","",""
"vehicles imported before 20.10.2004, as the publication of the Gazettes","",""
"was done after that date.","",""
"The Gazettes referred to in the judgment of the Court of Appeal are X4","",""
"and  X5.  The  Court  of  Appeal  made  observations  on  the  basis  that  the","",""
