"3a.","Amitha Dodanwala,"
"","Present Divisional Secretary,"
"","Kolonnawa Divisional Secretariat,"
"","Kolonnawa."
"","3b.   M. A. P. Jayakody,"
"","Divisional Secretary,"
"","Kolonnawa Divisional Secretariat,"
"","Kolonnawa."
"4.","Buddi Tharanga Karunasena,"
"","Divisional Secretary,"
"","Maharagama Divisional Secretariat,"
"","Maharagama."
"","4a.   M. M. K. Dilrukshi Walpola,"
"","Divisional Secretary,"
"","Maharagama Divisional Secretariat,"
"","Maharagama."
"5.","Hon. Attorney General,"
"","Attorney General’s Department,"
"","Hulftsdorp, Colombo 12."
