"6.","Mr.D.S.Wijayatilaka, Member"
"6(a) Mr.V.Shivagnansothy, Member",""
"7.","Dr. Pradeep Ramanujan, Member"
"7(a) Dr. T.R.C. Ruberu, Member",""
"8.","Mrs. V. Jegarasasingam, Member"
"8(a)","Mr.
Ahamod
Lebbe
Mohamed"
"Saleem, Member",""
"9.","Mr. S.N. Seneviratne, Member"
"9(a) Mr. Leelasena Liyanagama, Member",""
"10. Mr. S. Ranugge, Member",""
"10(a) Mr. Dian Gomes, Member",""
"11. Mr. D.L. Mendis, Member",""
"11(a) Mr. Dilith Jayaweera, Member",""
"12. Mr. Sarath Jayathilaka, Member",""
"12(a) Mr. W.H.Piyadasa, Member",""
